CC(=O)O[C@]12CC=C(C)[C@H](O)C[C@]13CC[C@H]2[C@@](C)(/C=C/C=C(\C)C(=O)O)OC3=O LTS0122806
CCC(CCC(C)C1CCC2C3CC(=O)C4CC(=O)CCC4(C)C3CCC12C)C(C)C LTS0179597
CC(C)C1=C[C@@]23CC[C@@H]4[C@](C)(CCC[C@@]4(C)C(=O)O)[C@H]2C[C@@H]1OO3 LTS0070121
CC[C@H](CC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC(=O)[C@H]4CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C)C(C)C LTS0214835
C=C(C)c1ccc2c(c1)CC[C@@H]1[C@]2(C)CCC[C@@]1(C)C(=O)O LTS0121512
CC1=CC[C@@H]2C3C1[C@@]2(C)CC[C@H]3C(C)C LTS0216620
C=C(CC[C@@H](C)[C@H]1CC[C@@]2(C)C3CC[C@H]4C(C)(C)[C@@H](O)CC[C@@]45C[C@@]35CC[C@]12C)C(C)C LTS0077845
C=CC1(C)CCC(C(C)C)=CC1C(=C)C LTS0080134
C[C@H]1[C@H](C)CC[C@]2(C)CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@H]12 LTS0222826
CC1CC2(CC(C)C3C(CC4(C)C5CCC6C(C)(C)OC(=O)CC7OC5(CCC34C)CC76O)O2)OC1=O LTS0076903
CC(C)(O)c1ccc2c(c1)C(O)CC1C(C)(CO)CCCC21C LTS0193734
CC1=CC[C@]23CC[C@H]([C@@]2(O)CC1)[C@@](C)(C=CC=C(C)C(=O)O)OC3=O LTS0221055
CC(C)=C1C=C2CC[C@H]3[C@](C)(CO)CCC[C@]3(C)[C@H]2CC1 LTS0054222
C[C@@H]1CC2(C[C@@H](C)C3[C@@H](CC4(C)CCCC5C6=CC(O)(CC[C@]34C)OC6=CC(=O)OC5(C)C)O2)OC1=O LTS0179518
CC1CC2(CC(C)C3C(CC4(C)C5CCC6C(C)(C)OCC(=O)C7OOC(CC34C)C5CC76O)O2)OC1=O LTS0048226
CC(C)(O)c1ccc2c(c1)C(=O)C[C@@H]1[C@]2(C)CCC[C@@]1(C)O LTS0140206
CC1(C(=O)O)CCCC2(C)C3CCC(O)(C(C)(C)O)C=C3C(O)CC12 LTS0099773
CC1(CO)CCCC2(C)C3CCC(=O)C=C3C(O)CC12 LTS0157040
C=C(C)[C@@H]1CC[C@]2(CO)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12 LTS0101863
CC1=CC[C@]23CC[C@H]([C@@]2(O)CC1)[C@@](C)(/C=C/C=C(\C)C(=O)O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)OC3=O LTS0087022
CC1C[C@]2(C[C@@H](C)C(=O)O2)O[C@@H]2CC3(C)[C@@H]4CCC5C(C)(C)OC(=O)C[C@H]6OO[C@]4(CC[C@]3(C)C12)CC56O LTS0089496
CC1C[C@]2(C[C@@H](C)C(=O)O2)OC2CC3(C)C4CCC5C(C)(C)OC(=O)CC[C@@]56C[C@@]46CC[C@]3(C)C12 LTS0026556
C=C(CC[C@@H](C)[C@H]1CC[C@@]2(C)[C@@H]3CC[C@H]4C(C)(C)C(=O)CC[C@@]45C[C@@]35CC[C@]12C)C(C)C LTS0031283
CC1CC2(CC(C)C3C(CC4(C)C5CCC6C7CC5(CCC34C)OOC7CC(=O)OC6(C)C)O2)OC1=O LTS0102631
CC1(C)C2=CCCC(C)(C)C23CCC1C3 LTS0100638
CC[C@H](CC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C)C(C)C LTS0110913
CC(=O)OC12CC=C(C)C(O)CC13CCC2C(C)(C=CC=C(C)C(=O)O)OC3=O LTS0200286
C=C1[C@@H]2CC[C@@H](C2)C1(C)C LTS0067556
CC(C)(O)[C@]1(O)C=C2[C@H](O)C[C@@H]3[C@](C)(CCC[C@@]3(C)CO)[C@H]2CC1 LTS0109991
CC1(C)[C@H]2CC[C@]1(C)[C@@H](O)C2 LTS0189059
CC(=O)OC12CC=C(C)C(=O)CC13CCC2C(C)(C=CC=C(C)C(=O)O)OC3=O LTS0115945
CC(C)=CCC/C(C)=C\CC/C(C)=C/CO LTS0182151
C=CC(C)(O)CCC1C(=C)CCC2C(C)(CO)CCCC12C LTS0035599
C=CCC(O)CCC1C(=C)CC(OC(C)=O)C2C(C)(C)CCCC12C LTS0115745
C=C/C(C)=C\C[C@@H]1[C@@]2(C)CCC[C@](C)(CO)[C@@H]2CC[C@@]1(C)O LTS0115730
COC(=O)[C@]1(C)CCC[C@@]2(C)[C@H]1CC(=O)C1=C[C@@]3(C(C)C)CC[C@]12OO3 LTS0056849
CC(C)c1ccc2c(c1)CC[C@@H]1[C@]2(C)CCC[C@@]1(C)COC(=O)CCC(=O)O LTS0106545
COC(=O)C1(C)CCCC2(C)C1CC1C(=O)CC3(C(C)C)CCC12O3 LTS0114672
COC(=O)C1=CC[C@]23CC[C@H]([C@@]2(O)CC1)[C@@](C)(CCC(=O)O)OC3=O LTS0109257
CC(=O)[C@H]1CC[C@@H]2[C@H]1[C@H](C(C)C)CC[C@@]2(C)O LTS0175689
CC12CCC(CC1=O)C2(C)C LTS0091905
CC(C)c1ccc2c(c1)C(=O)CC1C(C)(C(=O)O)CCCC21C LTS0051340
CC[C@H](CC[C@@H](C)[C@H]1CC[C@H]2[C@H]3CC[C@H]4CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C)C(C)C LTS0179761
CC(C)c1ccc2c(c1)[C@@H](O)C[C@@H]1[C@]2(C)CCC[C@@]1(C)C(=O)O LTS0034434
C[C@@H]1C[C@]2(C[C@@H](C)[C@H]3[C@@H](C[C@@]4(C)[C@@H]5CC[C@H]6C(C)(C)OC(=O)C[C@H]7OO[C@]5(CC[C@]34C)C[C@]76O)O2)OC1=O LTS0035632
C[C@@H]1C[C@]2(C[C@@H](C)[C@H]3[C@@H](C[C@@]4(C)CCC[C@@H]5C6=C[C@](O)(CC[C@]34C)OC6=CC(=O)OC5(C)C)O2)OC1=O LTS0106103
C=C(C)c1ccc2c(c1)CCC1C(C)(C(=O)O)CCCC21C LTS0088733
CC(C)[C@@]12CC[C@@H]3[C@@]4(C)CCC[C@@](C)(C(=O)O)[C@@H]4C[C@H]4O[C@]43[C@@H]1O2 LTS0184052
CC1CC2(CC(C)C3C(CC4(C)C5CCC6C(C)(C)OC7(C)OC5(CCC34C)CC67O)O2)OC1=O LTS0120392
CC1CC2(CC(C)C3C(CC4(C)CCCC5C6=CC(CCC34C)OC6=CC(=O)OC5(C)C)O2)OC1=O LTS0116457
CC(C)(O)c1ccc2c(c1)CC[C@@H]1[C@]2(C)CCC[C@@]1(C)C(=O)O LTS0274333
CC(=O)O[C@]12CC=C(C)C=C[C@]13CC[C@H]2[C@](C)(/C=C/C=C(\C)C(=O)O)OC3=O LTS0148327
CC1=C[C@H]2C(C(C)C)CC[C@@](C)(O)[C@H]2CC1 LTS0136437
COC(=O)C1(C)CCCC2(C)C3CCC(C(C)C)=CC3=CCC12 LTS0130338
CC1=CC[C@@]23CC1C(C)(C)[C@@H]2CC[C@H]3C LTS0256646
CC(C)(O)c1ccc2c(c1)CCC1C(C)(O)CCCC21C LTS0139452
CC(C)[C@@H](C)CC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@@]21C LTS0204629
C=C1[C@@H]2CC[C@H]3[C@H]2C(C)(C)CCC[C@@]13C LTS0206196
CC(C)C(=O)CC[C@@H](C)[C@H]1CC[C@@]2(C)[C@@H]3CC[C@H]4C(C)(C)C(=O)CC[C@@]45C[C@@]35CC[C@]12C LTS0136396
CC1=C[C@H]2[C@H](C(C)C)CC[C@@](C)(O)[C@@H]2CC1 LTS0206935
COC(=O)C1(C)CCCC2(C)Oc3ccc(C(C)C)cc3CCC21 LTS0178821
CC(=O)O[C@]12CC=C(C)C=C[C@]13CC[C@H]2[C@@](C)(/C=C/C=C(\C)C(=O)O)OC3=O LTS0163697
C[C@@H]1C[C@]2(C[C@@H](C)[C@H]3[C@@H](C[C@@]4(C)[C@@H]5CC[C@H]6C(C)(C)OC(=O)C=C[C@]67C[C@@]5(CC[C@]34C)OO7)O2)OC1=O LTS0262857
C=CC(C)(O)CCC1C(=C)CCC2C(C)(C=O)CCCC12C LTS0152368
CC1CC2(CC(C)C3C(CC4(C)C5CCC6C(C)(C)OC(=O)CC7OOC5(CCC34C)CC76O)O2)OC1=O LTS0150422
CC1=CC2C(C(C)C)CCC(C)(O)C2CC1 LTS0272380
COC(=O)C1=CCC23CCC(C(C)(CCC(=O)O)OC2=O)C3(OC(C)=O)CC1 LTS0138699
COC(=O)C1=CC[C@]2(OC(C)=O)[C@H]3CC[C@]2(C[C@H]1O)C(=O)O[C@]3(C)/C=C/C=C(\C)C(=O)O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O LTS0191124
CC(CC(=O)O)C1(C)CC=C2C3=CCC4C(C)(C)C(O)CCC4(C)C3CCC21C LTS0155411
CC(C)c1ccc2c(c1)C(=O)CC1C(C)(CO)CCCC21C LTS0151331
C=C1C/C=C/C(C)(C)C/C=C(\C)CCC1 LTS0193661
CC(C)C(=O)CC[C@H]1C(C=O)=CC[C@H]2[C@](C)(C(=O)O)CCC[C@]12C LTS0147733
COC(=O)[C@]1(C)CCC[C@]2(C)Oc3ccc(C(C)C)cc3CC[C@H]21 LTS0150656
COC(=O)C1=CCC23CCC(C(C)(C=CC=C(C)C(=O)O)OC2=O)C3(O)CC1 LTS0152886
C=CC[C@@H](O)CC[C@H]1C(=C)C[C@H](O)[C@H]2C(C)(C)CCC[C@]12C LTS0142797
CC[C@H](CC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CCC4CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C)C(C)C LTS0161330
CC(=O)C1CCC2C1C(C(C)C)CCC2(C)O LTS0119894
CC1(C)CC[C@]2(C)CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]2C1 LTS0251864
C=C[C@@]1(C)CCC(C(C)C)=C[C@@H]1C(=C)C LTS0090837
