
(my-rdkit-env-lotus) C:\Users\Simon\Desktop\versadb_tk-main\NMRshift>"C:\Program Files (x86)\Common Files\Oracle\Java\javapath\java.exe" -Xmx1g -classpath predictorc.jar;nmrshiftdb2/library/cdk-interfaces.jar;nmrshiftdb2/library/cdk-io.jar;nmrshiftdb2/library/cdk-core.jar;nmrshiftdb2/library/cdk-data.jar;nmrshiftdb2/library/cdk-standard.jar;nmrshiftdb2/library/cdk-sdg.jar;nmrshiftdb2/library/cdk-valencycheck.jar;nmrshiftdb2/library/vecmath1.2-1.14.jar;nmrshiftdb2/library/jgrapht.jar;nmrshiftdb2/library/antlr-2.7.2.jar;nmrshiftdb2/library/cdk-atomtype.jar;nmrshiftdb2/library/cdk-ioformats.jar;nmrshiftdb2/library/cdk-legacy.jar;nmrshiftdb2/library/guava-17.0.jar;nmrshiftdb2/library/cdk-smiles.jar;nmrshiftdb2/library/beam-core-0.9.2.jar;nmrshiftdb2/library/beam-func-0.9.2.jar;. Demo "cfmid_input_2D.sdf" "4" "3d" 
Duration: 7544
68 8 44.85
68 9 46.25
68 10 16.95
68 11 184.1
68 14 37.5
68 15 18.35
68 16 38.25
68 17 34.5
68 18 14.3
68 19 51.0
68 20 22.5
68 21 27.566668
69 0 21.4
69 1 34.96
69 2 21.4
69 3 144.98
69 4 133.76776
69 5 139.14166
69 6 147.28572
69 7 29.753206
69 8 24.8
69 9 38.786957
69 10 19.620869
69 11 36.242104
69 12 18.6
69 13 34.15
69 14 48.4
69 15 24.3
69 16 205.85
69 18 41.5
69 19 26.425802
69 20 26.6
70 0 106.3
70 1 152.5
70 2 35.5
70 3 26.3
70 4 45.1
70 5 26.4
70 6 18.35
70 7 18.35
70 8 45.29
70 9 123.7
70 10 133.0
70 11 23.9
70 12 30.8
70 13 25.0
70 14 42.8
71 0 20.5
71 1 125.7
71 2 19.6
71 3 139.14166
71 4 133.76776
71 5 151.8
71 6 28.206667
71 7 24.702438
71 8 56.645454
71 9 44.52727
71 10 29.218182
71 11 182.82727
71 14 38.918182
71 15 20.372726
71 16 38.95
71 17 39.891304
71 18 14.073334
71 19 50.618572
71 20 26.935272
71 21 25.7
72 0 112.3812
72 1 149.55307
72 2 33.1
72 3 21.6
72 4 33.75859
72 5 32.8
72 6 19.9
72 7 19.9
72 8 42.54845
72 9 76.26471
73 0 23.61
73 1 37.94
73 2 23.61
73 3 40.88
73 4 31.11
73 5 117.9
73 6 147.76
73 7 65.99
73 9 43.33
73 10 31.6
74 0 24.0
74 1 33.5
74 2 24.0
74 3 145.7
74 4 123.8
74 5 124.2
74 6 147.2
74 7 134.7
74 8 126.85
74 9 30.1
74 10 18.85
74 11 43.7
74 12 37.3
74 13 25.3
74 14 38.4
74 15 18.6
74 16 36.233334
74 17 38.166668
74 18 17.933332
74 19 72.0
75 0 111.80526
75 1 145.1
75 2 73.1
75 3 27.9
75 5 42.2
75 6 22.4
75 7 124.2
75 8 135.2
75 9 15.9
75 10 39.5
75 11 26.5
75 12 124.025
75 13 130.535
75 14 17.45
75 15 25.325
76 0 23.3
76 1 37.6
76 2 23.3
76 3 30.6
76 4 31.2
76 5 147.7
76 6 151.4
76 7 191.1
76 9 38.1
76 10 33.0
77 0 111.7
77 1 145.22174
77 2 73.1
77 3 27.834784
77 5 42.2
77 6 22.4
77 7 124.2
77 8 135.2
77 9 16.974073
77 10 35.6
77 11 26.5
77 12 124.025
77 13 130.535
77 14 17.45
77 15 25.325
78 0 111.45
78 1 146.735
78 2 39.45
78 3 22.205
78 4 42.23
78 5 28.02
78 6 46.48
78 7 150.29
78 8 109.09
78 9 21.38
78 10 33.76
78 11 56.24
78 12 147.2
78 13 112.825
78 14 23.845
79 0 23.9
79 1 159.1
79 2 126.8
79 3 200.0
79 5 51.6
79 6 25.9
79 7 19.55
79 8 19.55
79 9 23.2
79 10 30.5
80 0 19.9
80 1 32.8
80 2 19.9
80 3 34.1
80 4 33.747665
80 5 34.578712
80 6 80.59286
80 7 26.024286
80 9 26.3
80 10 17.716667
81 0 109.08891
81 1 151.65315
81 2 29.16
81 3 33.747665
81 4 33.75859
81 5 32.8
81 6 19.9
81 7 19.9
81 8 21.6
81 9 33.1
82 0 16.1
82 1 135.3
82 2 122.3
82 3 26.65
82 4 133.1
82 5 134.95294
82 6 17.261765
82 7 127.27143
82 8 138.0
82 9 52.5
82 10 31.8
82 11 20.6
82 12 20.6
82 13 28.1
82 14 36.6
82 15 134.40227
82 16 16.131708
82 17 129.1
82 18 26.226744
82 19 39.28032
83 0 19.7
83 1 134.5
83 2 127.1
83 3 121.8
83 4 144.5
83 5 29.537289
83 6 23.55
83 7 23.55
83 8 137.22778
83 9 139.35
83 10 27.7
83 11 31.1
83 12 29.0
83 13 22.4
83 14 35.1
84 0 18.553793
84 1 131.4275
84 2 23.802414
84 3 124.3
84 4 25.3
84 5 36.7
84 6 29.855556
84 7 21.038889
84 8 40.25
84 9 60.65
85 0 21.4
85 1 35.033333
85 2 21.4
85 3 145.1
85 4 123.05
85 5 135.7
85 6 121.7
85 7 24.4
85 8 50.5
85 9 33.1
85 10 27.3
85 11 27.3
85 12 42.7
85 13 19.2
85 14 39.5
85 15 35.2
85 16 13.9
85 17 51.3
85 18 23.0
85 19 27.566668
86 0 28.55
86 1 72.5
86 2 28.55
86 4 143.8
86 5 122.3
86 6 134.4
86 7 121.9
86 8 26.9
86 9 44.85
86 10 46.25
86 11 16.95
86 12 184.1
86 15 37.5
86 16 18.35
86 17 38.25
86 18 34.3
86 19 14.3
86 20 50.5
86 21 22.4
86 22 25.6
87 0 17.45
87 1 131.6562
87 2 25.325
87 3 124.14524
87 4 26.484615
87 5 35.215946
87 6 137.03238
87 7 19.59238
87 8 126.1
87 9 29.6
87 10 120.9
87 11 134.1
87 12 23.4
87 13 31.6
87 14 26.8
88 0 109.825
88 1 150.375
88 2 37.025
88 3 21.9
88 4 36.433334
88 5 20.733334
88 6 51.633335
88 7 136.2
88 8 121.7
88 9 24.593933
88 10 49.630524
88 11 48.4
88 12 24.3
88 13 205.85
88 15 34.15
88 16 19.20184
88 17 38.65
88 18 35.003704
88 19 13.911111
88 20 46.3
89 0 110.16
89 1 149.0
89 2 37.45
89 3 25.92
89 4 129.35
89 5 136.39
89 6 28.206667
89 7 24.702438
89 8 56.645454
89 9 44.52727
89 10 29.218182
89 11 182.82727
89 14 38.918182
89 15 20.372726
89 16 38.95
89 17 39.891304
89 18 14.073334
89 19 50.7
89 20 20.733334
89 21 34.46
90 0 110.17561
90 1 143.42105
90 2 29.753206
90 3 26.935272
90 4 32.4
90 5 150.5
90 6 106.86667
90 7 32.6
90 8 25.4
90 9 48.2
90 10 28.2
90 11 21.125
90 12 21.125
90 13 36.528572
90 14 31.442667
91 0 109.825
91 1 150.375
91 2 37.025
91 3 21.9
91 4 36.433334
91 5 20.733334
91 6 51.633335
91 7 135.65
91 8 121.666664
91 9 24.280237
91 10 50.27
91 11 33.106
91 12 27.3
91 13 27.3
91 14 42.7
91 15 18.938
91 16 39.237038
91 17 35.85449
91 18 15.19283
91 19 46.35
92 0 18.553793
92 1 131.92728
92 2 23.802414
92 3 124.37273
92 4 26.1
92 5 37.390907
92 6 39.4
92 7 21.6
92 8 151.8
92 9 126.5
92 10 129.2
92 11 136.3
92 12 21.01
92 13 129.2
92 14 126.5
93 0 23.0
93 1 133.4
93 2 119.5
93 3 31.166666
93 4 38.81603
93 5 135.961
93 6 21.896
93 7 121.2
93 8 27.485031
93 9 42.233334
93 10 28.325
93 11 20.216667
